episode_index,num_steps
0,55
1,60
2,47
3,48
4,40
5,25
6,59
7,49
8,56
9,151
10,21
11,36
12,38
13,108
14,24
15,54
16,97
17,36
18,115
19,58
20,37
21,36
22,51
23,70
24,46
25,33
26,21
27,9
28,25
29,90
30,54
31,54
32,48
33,104
34,61
35,56
36,44
37,43
38,72
39,34
40,49
41,88
42,44
43,52
44,42
45,33
46,118
47,20
48,70
49,34
50,45
51,57
52,50
53,77
54,23
55,50
56,11
57,50
58,69
59,28
60,46
61,40
62,24
63,42
64,56
65,28
66,117
67,74
68,36
69,29
70,44
71,60
72,44
73,46
74,39
75,243
76,61
77,115
78,44
79,43
80,57
81,65
82,75
83,59
84,104
85,52
86,48
87,53
88,26
89,101
90,58
91,53
92,36
93,49
94,78
95,76
96,161
97,106
98,37
99,54
100,48
101,45
102,64
103,37
104,47
105,37
106,35
107,52
108,20
109,57
110,47
111,36
112,68
113,38
114,31
115,29
116,71
117,212
118,32
119,50
120,29
121,70
122,70
123,36
124,41
125,64
126,16
127,87
128,89
129,35
130,43
131,35
132,31
133,54
134,27
135,35
136,89
137,54
138,37
139,45
140,32
141,42
142,54
143,49
144,24
145,37
146,58
147,34
148,53
149,30
150,65
151,26
152,22
153,116
154,32
155,47
156,17
157,25
158,19
159,32
160,24
161,51
162,41
163,143
164,33
165,93
166,44
167,57
168,46
169,73
170,157
171,54
172,53
173,113
174,67
175,83
176,66
177,33
178,96
179,175
180,53
181,204
182,114
183,63
184,42
185,79
186,27
187,48
188,134
189,55
190,60
191,64
192,183
193,43
194,194
195,62
196,138
197,53
198,61
199,65
200,86
201,43
202,93
203,84
204,76
205,104
206,19
207,24
208,22
209,27
210,28
211,17
212,21
213,31
214,13
215,20
216,15
217,24
218,24
219,14
220,32
221,21
222,21
223,19
224,20
225,18
226,31
227,27
228,22
229,19
230,24
231,5
232,33
233,12
234,24
235,24
236,23
237,33
238,10
239,29
240,22
241,25
242,11
243,23
244,26
245,23
246,10
247,35
248,14
249,30
250,17
251,27
